"term","estimate","std.error","statistic","p.value"
"(Intercept)",-35.3686703266756,0.688357612931442,-51.3812437928222,0
"tmmn",0.117637135381058,0.00311433086842769,37.7728444249885,1.73331930273431e-310
"tmmx",0.0809426201299877,0.00368203956992014,21.9830934982981,6.63769000176056e-107
"pr",0.215243549330275,0.00316103810777507,68.0926777822923,0
"vpd",-4.71047261155595,0.0218620941797222,-215.463009757092,0
"srad",-0.013303033766757,0.000250836512630026,-53.0346783539384,0
"vs",0.22516982981593,0.0085705168237103,26.2726081107499,1.01101497551412e-151
"cliB",-2.32790145530942,0.1481721011892,-15.7107946545008,1.44018619533579e-55
"cliC",-1.19875289394752,0.146800592795819,-8.16585867343766,3.22058291221129e-16
"cliD",-0.998293147563001,0.148632357864429,-6.71652634666248,1.86890869656182e-11
"cliE",-3.93707202222331,0.650356403386844,-6.0537145505454,1.41939960351451e-09
"seasonSpring",1.8062162720062,0.0360107439681467,50.1577049783778,0
"seasonSummer",1.03965767675278,0.0353180700026732,29.4369900924396,8.12625927660041e-190
"seasonWinter",2.12568118846688,0.0287686361924901,73.8888411061273,0
"p",0.0655835642122935,0.00343041995367156,19.1182319068835,2.3208289415979e-81
